X--Trace 1::[V(4) | V(PR1)],Y--Trace 1::[V(4) | V(PR1)]
50,-0.287190988
62.94627059,-0.361555574
79.24465962,-0.455178567
99.76311575,-0.573049965
125.5943216,-0.721455298
158.113883,-0.908314546
199.0535853,-1.143612284
250.5936168,-1.439946099
315.4786722,-1.813230826
397.1641174,-2.283612689
500,-2.876675287
629.4627059,-3.625068248
792.4465962,-4.570779058
997.6311575,-5.76843877
1255.943216,-7.290384377
1581.13883,-9.234864407
1990.535853,-11.74013012
2505.936168,-15.00997242
3154.786722,-19.36213274
3971.641174,-25.32254641
5000,-33.80417308
6294.627059,-46.37472038
7924.465962,-65.14680814
9976.311575,-90.15081923
12559.43216,-115.1599131
15811.3883,-133.9513081
19905.35853,-146.560151
25059.36168,-155.1021723
31547.86722,-161.1496285
39716.41174,-165.6233047
50000,-169.0623811
