#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,50.0,0.4000,0.07,0.16
2,53.6,0.4000,0.06,0.04
3,57.4,0.4000,0.06,0.04
4,61.5,0.4000,0.06,-0.05
5,65.9,0.4000,0.05,-0.18
6,70.6,0.4000,0.06,-0.25
7,75.7,0.4000,0.05,-0.29
8,81.1,0.4000,0.05,-0.34
9,86.9,0.4000,0.06,-0.41
10,93.1,0.4000,0.04,-0.46
11,99.8,0.4000,0.05,-0.52
12,106.9,0.4000,0.04,-0.61
13,114.5,0.4000,0.04,-0.63
14,122.7,0.4000,0.03,-0.63
15,131.5,0.4000,0.04,-0.74
16,140.9,0.4000,0.03,-0.75
17,151.0,0.4000,0.03,-0.80
18,161.8,0.4000,0.03,-0.91
19,173.4,0.4000,0.02,-0.91
20,185.8,0.4000,0.04,-1.02
21,199.1,0.4000,0.01,-1.09
22,213.3,0.4000,0.03,-1.15
23,228.5,0.4000,0.02,-1.20
24,244.9,0.4000,0.03,-1.32
25,262.4,0.4000,0.03,-1.39
26,281.2,0.4000,0.03,-1.49
27,301.3,0.4000,0.02,-1.60
28,322.8,0.4000,0.02,-1.66
29,345.9,0.4000,0.01,-1.83
30,370.7,0.4000,0.02,-1.95
31,397.2,0.4000,0.02,-2.11
32,425.6,0.4000,0.02,-2.22
33,456.0,0.4000,0.03,-2.35
34,488.6,0.4000,0.03,-2.58
35,523.6,0.4000,0.04,-2.74
36,561.0,0.4000,0.04,-2.89
37,601.1,0.4000,0.02,-3.10
38,644.1,0.4000,0.04,-3.32
39,690.2,0.4000,0.02,-3.57
40,739.6,0.4000,0.03,-3.84
41,792.4,0.4000,0.03,-4.14
42,849.1,0.4000,0.03,-4.41
43,909.9,0.4000,0.05,-4.74
44,974.9,0.4000,0.03,-5.07
45,1044.6,0.4000,0.07,-5.44
46,1119.4,0.4000,0.05,-5.79
47,1199.4,0.4000,0.05,-6.26
48,1285.2,0.4000,0.08,-6.70
49,1377.1,0.4000,0.06,-7.20
50,1475.6,0.4000,0.06,-7.68
51,1581.1,0.4000,0.08,-8.25
52,1694.2,0.4000,0.10,-8.86
53,1815.4,0.4000,0.14,-9.55
54,1945.2,0.4000,0.13,-10.25
55,2084.3,0.4000,0.15,-11.00
56,2233.4,0.4000,0.18,-11.80
57,2393.2,0.4000,0.19,-12.70
58,2564.3,0.4000,0.21,-13.69
59,2747.7,0.4000,0.24,-14.76
60,2944.2,0.4000,0.28,-15.88
61,3154.8,0.4000,0.31,-17.12
62,3380.4,0.4000,0.36,-18.49
63,3622.2,0.4000,0.40,-19.98
64,3881.2,0.4000,0.45,-21.58
65,4158.8,0.4000,0.48,-23.36
66,4456.3,0.4000,0.56,-25.37
67,4775.0,0.4000,0.61,-27.55
68,5116.5,0.4000,0.68,-29.95
69,5482.4,0.4000,0.76,-32.64
70,5874.5,0.4000,0.82,-35.68
71,6294.6,0.4000,0.90,-39.06
72,6744.8,0.4000,0.93,-42.84
73,7227.2,0.4000,0.97,-47.12
74,7744.1,0.4000,1.02,-51.96
75,8297.9,0.4000,0.99,-57.30
76,8891.4,0.4000,0.88,-63.26
77,9527.3,0.4000,0.70,-69.69
78,10208.7,0.4000,0.44,-76.66
79,10938.8,0.4000,0.02,-83.95
80,11721.1,0.4000,-0.55,-91.40
81,12559.4,0.4000,-1.24,-98.85
82,13457.7,0.4000,-2.09,-105.97
83,14420.2,0.4000,-3.07,-112.68
84,15451.5,0.4000,-4.14,-118.82
85,16556.6,0.4000,-5.27,-124.44
86,17740.7,0.4000,-6.46,-129.48
87,19009.5,0.4000,-7.67,-133.99
88,20369.0,0.4000,-8.92,-138.00
89,21825.8,0.4000,-10.17,-141.53
90,23386.8,0.4000,-11.42,-144.74
91,25059.4,0.4000,-12.69,-147.49
92,26851.6,0.4000,-13.95,-150.05
93,28772.0,0.4000,-15.21,-152.34
94,30829.8,0.4000,-16.42,-154.50
95,33034.7,0.4000,-17.67,-156.39
96,35397.3,0.4000,-18.90,-158.05
97,37928.9,0.4000,-20.13,-159.72
98,40641.5,0.4000,-21.41,-161.00
99,43548.2,0.4000,-22.63,-162.35
100,46662.7,0.4000,-23.84,-163.55
101,50000.0,0.4000,-25.07,-164.68
